行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
151,科學,組合科學 (化學、物理),男生,人數,138,129,,0,2,3,14,46,85,114,15
152,科學,組合科學 (化學、物理),男生,百分比,,,82.9,0.0%,1.6%,2.3%,10.9%,35.7%,65.9%,88.4%,11.6%
153,科學,組合科學 (化學、物理),女生,人數,63,57,,0,0,0,6,24,40,52,5
154,科學,組合科學 (化學、物理),女生,百分比,,,78.9,0.0%,0.0%,0.0%,10.5%,42.1%,70.2%,91.2%,8.8%
155,科學,組合科學 (化學、物理),總數,人數,201,186,,0,2,3,20,70,125,166,20
156,科學,組合科學 (化學、物理),總數,百分比,,,81.7,0.0%,1.1%,1.6%,10.8%,37.6%,67.2%,89.2%,10.8%
157,科學,組合科學 (生物),男生,人數,128,127,,1,2,3,19,47,92,113,14
158,科學,組合科學 (生物),男生,百分比,,,95.3,0.8%,1.6%,2.4%,15.0%,37.0%,72.4%,89.0%,11.0%
159,科學,組合科學 (生物),女生,人數,88,85,,0,0,2,17,35,57,71,14
160,科學,組合科學 (生物),女生,百分比,,,84.7,0.0%,0.0%,2.4%,20.0%,41.2%,67.1%,83.5%,16.5%
161,科學,組合科學 (生物),總數,人數,216,212,,1,2,5,36,82,149,184,28
162,科學,組合科學 (生物),總數,百分比,,,91,0.5%,0.9%,2.4%,17.0%,38.7%,70.3%,86.8%,13.2%
163,科學,組合科學 (化學),男生,人數,255,243,,0,1,3,26,78,135,198,45
164,科學,組合科學 (化學),男生,百分比,,,88.5,0.0%,0.4%,1.2%,10.7%,32.1%,55.6%,81.5%,18.5%
165,科學,組合科學 (化學),女生,人數,137,128,,0,0,0,16,47,76,103,25
166,科學,組合科學 (化學),女生,百分比,,,80.5,0.0%,0.0%,0.0%,12.5%,36.7%,59.4%,80.5%,19.5%
167,科學,組合科學 (化學),總數,人數,392,371,,0,1,3,42,125,211,301,70
168,科學,組合科學 (化學),總數,百分比,,,85.7,0.0%,0.3%,0.8%,11.3%,33.7%,56.9%,81.1%,18.9%
169,科學,組合科學 (物理),男生,人數,149,140,,1,4,9,15,52,95,121,19
170,科學,組合科學 (物理),男生,百分比,,,84.3,0.7%,2.9%,6.4%,10.7%,37.1%,67.9%,86.4%,13.6%
171,科學,組合科學 (物理),女生,人數,77,70,,0,0,1,7,22,49,64,6
172,科學,組合科學 (物理),女生,百分比,,,82.9,0.0%,0.0%,1.4%,10.0%,31.4%,70.0%,91.4%,8.6%
173,科學,組合科學 (物理),總數,人數,226,210,,1,4,10,22,74,144,185,25
174,科學,組合科學 (物理),總數,百分比,,,83.8,0.5%,1.9%,4.8%,10.5%,35.2%,68.6%,88.1%,11.9%
175,科學,組合科學,男生,人數,266,256,,0,3,5,24,83,165,225,31
176,科學,組合科學,男生,百分比,,,89.1,0.0%,1.2%,2.0%,9.4%,32.4%,64.5%,87.9%,12.1%
177,科學,組合科學,女生,人數,151,142,,0,0,0,14,52,91,122,20
178,科學,組合科學,女生,百分比,,,82.4,0.0%,0.0%,0.0%,9.9%,36.6%,64.1%,85.9%,14.1%
179,科學,組合科學,總數,人數,417,398,,0,3,5,38,135,256,347,51
180,科學,組合科學,總數,百分比,,,86.7,0.0%,0.8%,1.3%,9.5%,33.9%,64.3%,87.2%,12.8%
181,科學,綜合科學,男生,人數,53,51,,0,0,2,8,19,35,47,4
