行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標,
179,服務,酒店服務營運,總數,人數,158,156,11,40,137,19,
180,服務,酒店服務營運,總數,百分比,,,7.1%,25.6%,87.8%,12.2%,
181,服務,酒店營運,男生,人數,46,44,1,2,44,0,
182,服務,酒店營運,男生,百分比,,,2.3%,4.5%,100.0%,0.0%,
183,服務,酒店營運,女生,人數,46,46,3,16,46,0,
184,服務,酒店營運,女生,百分比,,,6.5%,34.8%,100.0%,0.0%,
185,服務,酒店營運,總數,人數,92,90,4,18,90,0,
186,服務,酒店營運,總數,百分比,,,4.4%,20.0%,100.0%,0.0%,
187,服務,甜品及咖啡店營運,男生,人數,111,95,2,13,74,21,
188,服務,甜品及咖啡店營運,男生,百分比,,,2.1%,13.7%,77.9%,22.1%,
189,服務,甜品及咖啡店營運,女生,人數,139,133,15,48,123,10,
190,服務,甜品及咖啡店營運,女生,百分比,,,11.3%,36.1%,92.5%,7.5%,
191,服務,甜品及咖啡店營運,總數,人數,250,228,17,61,197,31,
192,服務,甜品及咖啡店營運,總數,百分比,,,7.5%,26.8%,86.4%,13.6%,
193,服務,西式食品製作,男生,人數,420,367,8,37,340,27,
194,服務,西式食品製作,男生,百分比,,,2.2%,10.1%,92.6%,7.4%,
195,服務,西式食品製作,女生,人數,285,277,11,70,270,7,
196,服務,西式食品製作,女生,百分比,,,4.0%,25.3%,97.5%,2.5%,
197,服務,西式食品製作,總數,人數,705,644,19,107,610,34,
198,服務,西式食品製作,總數,百分比,,,3.0%,16.6%,94.7%,5.3%,
199,所有乙類學科 (不包括應用學習中文),,男生,人數,1760,1587,73,294,1427,160,
200,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,4.6%,18.5%,89.9%,10.1%,
201,所有乙類學科 (不包括應用學習中文),,女生,人數,1771,1694,204,633,1645,49,
202,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,12.0%,37.4%,97.1%,2.9%,
203,所有乙類學科 (不包括應用學習中文),,總數,人數,3531,3281,277,927,3072,209,
204,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,8.4%,28.3%,93.6%,6.4%,
