行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
202,旅遊與款待,,女生,百分比,,,87.2,0.6%,2.2%,5.2%,17.7%,39.4%,78.9%,95.0%,5.0%
203,旅遊與款待,,總數,人數,3830,3619,,18,67,165,555,1270,2694,3357,262
204,旅遊與款待,,總數,百分比,,,88.5,0.5%,1.9%,4.6%,15.3%,35.1%,74.4%,92.8%,7.2%
205,視覺藝術,,男生,人數,938,887,,3,12,28,121,320,660,826,61
206,視覺藝術,,男生,百分比,,,89.4,0.3%,1.4%,3.2%,13.6%,36.1%,74.4%,93.1%,6.9%
207,視覺藝術,,女生,人數,2786,2742,,17,71,185,684,1505,2401,2676,66
208,視覺藝術,,女生,百分比,,,84.3,0.6%,2.6%,6.7%,24.9%,54.9%,87.6%,97.6%,2.4%
209,視覺藝術,,總數,人數,3724,3629,,20,83,213,805,1825,3061,3502,127
210,視覺藝術,,總數,百分比,,,85.6,0.6%,2.3%,5.9%,22.2%,50.3%,84.3%,96.5%,3.5%
211,所有甲類學科,,男生,人數,164706,158584,,2018,7470,17798,49886,89704,129815,149280,9304
212,所有甲類學科,,男生,百分比,,,58.8,1.3%,4.7%,11.2%,31.5%,56.6%,81.9%,94.1%,5.9%
213,所有甲類學科,,女生,人數,162328,158755,,1875,7592,19640,60600,103908,138898,153146,5609
214,所有甲類學科,,女生,百分比,,,51.4,1.2%,4.8%,12.4%,38.2%,65.5%,87.5%,96.5%,3.5%
215,所有甲類學科,,總數,人數,327034,317339,,3893,15062,37438,110486,193612,268713,302426,14913
216,所有甲類學科,,總數,百分比,,,55.1,1.2%,4.7%,11.8%,34.8%,61.0%,84.7%,95.3%,4.7%
