行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*+,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
187,科技與生活,食品科學與科技,男生,人數,29,28,,0,0,0,0,1,13,26,2
188,科技與生活,食品科學與科技,男生,百分比,,,100.0,0.0%,0.0%,0.0%,0.0%,3.6%,46.4%,92.9%,7.1%
189,科技與生活,食品科學與科技,女生,人數,147,145,,1,2,6,33,78,117,140,5
190,科技與生活,食品科學與科技,女生,百分比,,,60.0,0.7%,1.4%,4.1%,22.8%,53.8%,80.7%,96.6%,3.4%
191,科技與生活,食品科學與科技,總數,人數,176,173,,1,2,6,33,79,130,166,7
192,科技與生活,食品科學與科技,總數,百分比,,,66.5,0.6%,1.2%,3.5%,19.1%,45.7%,75.1%,96.0%,4.0%
193,科技與生活,服裝、成衣與紡織,男生,人數,4,4,,0,0,0,0,0,2,2,2
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
195,科技與生活,服裝、成衣與紡織,女生,人數,39,37,,1,1,2,7,17,29,35,2
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,70.3,2.7%,2.7%,5.4%,18.9%,45.9%,78.4%,94.6%,5.4%
197,科技與生活,服裝、成衣與紡織,總數,人數,43,41,,1,1,2,7,17,31,37,4
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,73.2,2.4%,2.4%,4.9%,17.1%,41.5%,75.6%,90.2%,9.8%
199,旅遊與款待,,男生,人數,1351,1253,,4,16,44,143,357,850,1121,132
200,旅遊與款待,,男生,百分比,,,90.4,0.3%,1.3%,3.5%,11.4%,28.5%,67.8%,89.5%,10.5%
201,旅遊與款待,,女生,人數,2208,2160,,13,48,113,382,857,1712,2054,106
202,旅遊與款待,,女生,百分比,,,86.9,0.6%,2.2%,5.2%,17.7%,39.7%,79.3%,95.1%,4.9%
203,旅遊與款待,,總數,人數,3559,3413,,17,64,157,525,1214,2562,3175,238
204,旅遊與款待,,總數,百分比,,,88.2,0.5%,1.9%,4.6%,15.4%,35.6%,75.1%,93.0%,7.0%
205,視覺藝術,,男生,人數,889,849,,3,12,28,121,316,645,797,52
206,視覺藝術,,男生,百分比,,,89.6,0.4%,1.4%,3.3%,14.3%,37.2%,76.0%,93.9%,6.1%
207,視覺藝術,,女生,人數,2710,2675,,17,71,185,682,1488,2367,2625,50
208,視覺藝術,,女生,百分比,,,84.4,0.6%,2.7%,6.9%,25.5%,55.6%,88.5%,98.1%,1.9%
209,視覺藝術,,總數,人數,3599,3524,,20,83,213,803,1804,3012,3422,102
210,視覺藝術,,總數,百分比,,,85.7,0.6%,2.4%,6.0%,22.8%,51.2%,85.5%,97.1%,2.9%
211,所有甲類學科,,男生,人數,150806,147561,,1801,6854,16486,46674,84228,121561,139372,8189
212,所有甲類學科,,男生,百分比,,,58.7,1.2%,4.6%,11.2%,31.6%,57.1%,82.4%,94.5%,5.5%
213,所有甲類學科,,女生,人數,151944,150288,,1835,7396,19130,58863,100483,133057,145744,4544
214,所有甲類學科,,女生,百分比,,,50.7,1.2%,4.9%,12.7%,39.2%,66.9%,88.5%,97.0%,3.0%
215,所有甲類學科,,總數,人數,302750,297849,,3636,14250,35616,105537,184711,254618,285116,12733
216,所有甲類學科,,總數,百分比,,,54.7,1.2%,4.8%,12.0%,35.4%,62.0%,85.5%,95.7%,4.3%
