No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
219,Services,Child Care and Education,Female,Number,135,125,16,37,125,0
220,Services,Child Care and Education,Female,Percentage,,,12.8%,29.6%,100.0%,0.0%
221,Services,Child Care and Education,Total,Number,146,136,17,39,136,0
222,Services,Child Care and Education,Total,Percentage,,,12.5%,28.7%,100.0%,0.0%
223,Services,Fundamental Cosmetology,Male,Number,9,5,1,1,5,0
224,Services,Fundamental Cosmetology,Male,Percentage,,,20.0%,20.0%,100.0%,0.0%
225,Services,Fundamental Cosmetology,Female,Number,121,102,5,30,99,3
226,Services,Fundamental Cosmetology,Female,Percentage,,,4.9%,29.4%,97.1%,2.9%
227,Services,Fundamental Cosmetology,Total,Number,130,107,6,31,104,3
228,Services,Fundamental Cosmetology,Total,Percentage,,,5.6%,29.0%,97.2%,2.8%
229,Services,Hospitality Services in Practice,Male,Number,26,25,1,1,21,4
230,Services,Hospitality Services in Practice,Male,Percentage,,,4.0%,4.0%,84.0%,16.0%
231,Services,Hospitality Services in Practice,Female,Number,43,43,3,16,41,2
232,Services,Hospitality Services in Practice,Female,Percentage,,,7.0%,37.2%,95.3%,4.7%
233,Services,Hospitality Services in Practice,Total,Number,69,68,4,17,62,6
234,Services,Hospitality Services in Practice,Total,Percentage,,,5.9%,25.0%,91.2%,8.8%
235,Services,Hotel Operations,Male,Number,27,24,0,1,22,2
236,Services,Hotel Operations,Male,Percentage,,,0.0%,4.2%,91.7%,8.3%
237,Services,Hotel Operations,Female,Number,20,19,2,5,19,0
238,Services,Hotel Operations,Female,Percentage,,,10.5%,26.3%,100.0%,0.0%
239,Services,Hotel Operations,Total,Number,47,43,2,6,41,2
240,Services,Hotel Operations,Total,Percentage,,,4.7%,14.0%,95.3%,4.7%
241,Services,Pâtisserie and Café Operations,Male,Number,109,90,4,13,76,14
242,Services,Pâtisserie and Café Operations,Male,Percentage,,,4.4%,14.4%,84.4%,15.6%
243,Services,Pâtisserie and Café Operations,Female,Number,225,208,19,52,197,11
244,Services,Pâtisserie and Café Operations,Female,Percentage,,,9.1%,25.0%,94.7%,5.3%
245,Services,Pâtisserie and Café Operations,Total,Number,334,298,23,65,273,25
246,Services,Pâtisserie and Café Operations,Total,Percentage,,,7.7%,21.8%,91.6%,8.4%
247,Services,Western Cuisine,Male,Number,251,213,2,20,190,23
248,Services,Western Cuisine,Male,Percentage,,,0.9%,9.4%,89.2%,10.8%
249,Services,Western Cuisine,Female,Number,242,220,15,56,214,6
250,Services,Western Cuisine,Female,Percentage,,,6.8%,25.5%,97.3%,2.7%
251,Services,Western Cuisine,Total,Number,493,433,17,76,404,29
252,Services,Western Cuisine,Total,Percentage,,,3.9%,17.6%,93.3%,6.7%
253,All Category B subjects (except Applied Learning Chinese),,Male,Number,1809,1578,109,350,1410,168
254,All Category B subjects (except Applied Learning Chinese),,Male,Percentage,,,6.9%,22.2%,89.4%,10.6%
255,All Category B subjects (except Applied Learning Chinese),,Female,Number,2140,2009,315,806,1927,82
256,All Category B subjects (except Applied Learning Chinese),,Female,Percentage,,,15.7%,40.1%,95.9%,4.1%
257,All Category B subjects (except Applied Learning Chinese),,Total,Number,3949,3587,424,1156,3337,250
258,All Category B subjects (except Applied Learning Chinese),,Total,Percentage,,,11.8%,32.2%,93.0%,7.0%
